"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES";"QT_SECOES_AGREGADAS";"QT_APTOS_TOT";"QT_SECOES_TOT";"QT_COMPARECIMENTO";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_BRANCOS";"QT_VOTOS_NULOS";"QT_VOTOS_LEGENDA";"QT_VOTOS_PENDENTES";"QT_VOTOS_ANULADOS";"QT_VOTOS_NULO_TECNICO";"QT_VOTOS_ANULADO_SUB_JUDICE";"QT_VOTOS_SEM_CAND_P_VOTAR";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"04/10/2021";"08:31:20";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"RN";"17710";"PARANÁ";"17710";"PARANÁ";"42";"13";"Vereador";"4069";"10";"0";"4069";"10";"3813";"256";"N";"3541";"32";"86";"154";"0";"0";"0";"0";"0";"20:08:22";"15/11/2020"
"04/10/2021";"08:31:20";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"RN";"16241";"SANTA MARIA";"16241";"SANTA MARIA";"8";"11";"Prefeito";"4373";"11";"2";"4373";"11";"3938";"435";"N";"3809";"31";"98";"0";"0";"0";"0";"0";"0";"19:21:26";"15/11/2020"
"04/10/2021";"08:31:20";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"RN";"18694";"SEVERIANO MELO";"18694";"SEVERIANO MELO";"45";"13";"Vereador";"6482";"17";"6";"6482";"17";"5880";"602";"N";"5424";"41";"237";"178";"0";"0";"0";"0";"0";"21:38:51";"15/11/2020"
"04/10/2021";"08:31:20";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"RN";"18635";"SERRA DE SÃO BENTO";"18635";"SERRA DE SÃO BENTO";"15";"13";"Vereador";"5287";"15";"0";"5287";"15";"4683";"604";"N";"4182";"32";"280";"187";"0";"0";"0";"2";"0";"19:12:54";"15/11/2020"
"04/10/2021";"08:31:20";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"RN";"17612";"NATAL";"17612";"NATAL";"1";"13";"Vereador";"105817";"237";"22";"105817";"237";"79207";"26610";"N";"67087";"2771";"5394";"3563";"0";"32";"183";"177";"0";"14:05:01";"13/05/2021"
"04/10/2021";"08:31:20";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"RN";"16292";"BARCELONA";"16292";"BARCELONA";"19";"13";"Vereador";"4627";"12";"2";"4627";"12";"4158";"469";"N";"3898";"22";"93";"145";"0";"0";"0";"0";"0";"19:21:28";"15/11/2020"
"04/10/2021";"08:31:20";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"RN";"16578";"CORONEL JOÃO PESSOA";"16578";"CORONEL JOÃO PESSOA";"43";"11";"Prefeito";"3892";"11";"0";"3892";"11";"3323";"569";"N";"3079";"55";"189";"0";"0";"0";"0";"0";"0";"19:21:37";"15/11/2020"
"04/10/2021";"08:31:20";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"RN";"17833";"PASSAGEM";"17833";"PASSAGEM";"13";"11";"Prefeito";"3332";"10";"1";"3332";"10";"3153";"179";"N";"3067";"16";"70";"0";"0";"0";"0";"0";"0";"19:12:38";"15/11/2020"
"04/10/2021";"08:31:20";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"RN";"16659";"ENCANTO";"16659";"ENCANTO";"65";"13";"Vereador";"4509";"15";"0";"4509";"15";"3936";"573";"N";"3617";"28";"188";"103";"0";"0";"0";"0";"0";"19:13:08";"15/11/2020"
"04/10/2021";"08:31:20";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"RN";"18139";"RIACHO DE SANTANA";"18139";"RIACHO DE SANTANA";"65";"13";"Vereador";"3605";"11";"0";"3605";"11";"3219";"386";"N";"3001";"24";"71";"123";"0";"0";"0";"0";"0";"19:49:50";"15/11/2020"
"04/10/2021";"08:31:20";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"RN";"16551";"CORONEL EZEQUIEL";"16551";"CORONEL EZEQUIEL";"68";"11";"Prefeito";"4644";"13";"0";"4644";"13";"3915";"729";"N";"3729";"43";"143";"0";"0";"0";"0";"0";"0";"19:50:18";"15/11/2020"
"04/10/2021";"08:31:20";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"RN";"16934";"IPUEIRA";"16934";"IPUEIRA";"26";"13";"Vereador";"1976";"5";"0";"1976";"5";"1883";"93";"N";"1794";"4";"43";"42";"0";"0";"0";"0";"0";"19:22:00";"15/11/2020"
"04/10/2021";"08:31:20";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"RN";"16896";"IELMO MARINHO";"16896";"IELMO MARINHO";"46";"13";"Vereador";"10689";"32";"10";"10689";"32";"9513";"1176";"N";"8741";"71";"314";"375";"0";"12";"0";"0";"0";"14:40:01";"02/12/2020"
"04/10/2021";"08:31:20";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"RN";"16152";"ANGICOS";"16152";"ANGICOS";"18";"11";"Prefeito";"9462";"25";"2";"9462";"25";"8257";"1205";"N";"7882";"81";"294";"0";"0";"0";"0";"0";"0";"19:12:32";"15/11/2020"
"04/10/2021";"08:31:20";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"RN";"17612";"NATAL";"17612";"NATAL";"4";"11";"Prefeito";"101240";"221";"6";"101240";"221";"73977";"27263";"N";"62118";"3632";"8227";"0";"0";"0";"0";"0";"0";"21:34:02";"15/11/2020"
"04/10/2021";"08:31:20";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"RN";"17892";"PEDRA GRANDE";"17892";"PEDRA GRANDE";"52";"11";"Prefeito";"3872";"10";"2";"3872";"10";"3609";"263";"N";"3476";"28";"105";"0";"0";"0";"0";"0";"0";"19:49:46";"15/11/2020"
"04/10/2021";"08:31:20";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"RN";"17213";"MESSIAS TARGINO";"17213";"MESSIAS TARGINO";"37";"13";"Vereador";"4212";"12";"0";"4212";"12";"3999";"213";"N";"3765";"30";"74";"130";"0";"0";"0";"0";"0";"15:00:00";"17/12/2020"
"04/10/2021";"08:31:20";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"RN";"17370";"LUCRÉCIA";"17370";"LUCRÉCIA";"39";"13";"Vereador";"3277";"9";"1";"3277";"9";"2926";"351";"N";"2712";"11";"99";"104";"0";"0";"0";"0";"0";"19:50:25";"15/11/2020"
"04/10/2021";"08:31:20";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"RN";"17396";"LUÍS GOMES";"17396";"LUÍS GOMES";"42";"13";"Vereador";"7182";"19";"0";"7182";"19";"5998";"1184";"N";"5323";"59";"276";"339";"0";"0";"1";"0";"0";"19:50:50";"15/11/2020"
"04/10/2021";"08:31:20";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"RN";"17450";"MARCELINO VIEIRA";"17450";"MARCELINO VIEIRA";"65";"13";"Vereador";"6558";"20";"1";"6558";"20";"5934";"624";"N";"5444";"71";"160";"259";"0";"0";"0";"0";"0";"22:05:50";"15/11/2020"
"04/10/2021";"08:31:20";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"RN";"17477";"MARTINS";"17477";"MARTINS";"38";"13";"Vereador";"6564";"21";"6";"6564";"21";"5820";"744";"N";"5207";"86";"255";"272";"0";"0";"0";"0";"0";"19:50:18";"15/11/2020"
"04/10/2021";"08:31:20";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"RN";"16144";"FERNANDO PEDROZA";"16144";"FERNANDO PEDROZA";"18";"11";"Prefeito";"3075";"8";"2";"3075";"8";"2822";"253";"N";"2703";"17";"102";"0";"0";"0";"0";"0";"0";"19:50:17";"15/11/2020"
"04/10/2021";"08:31:20";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"RN";"16373";"CAIÇARA DO RIO DO VENTO";"16373";"CAIÇARA DO RIO DO VENTO";"17";"11";"Prefeito";"3531";"9";"2";"3531";"9";"3269";"262";"N";"3152";"21";"96";"0";"0";"0";"0";"0";"0";"13:55:00";"08/02/2021"
"04/10/2021";"08:31:20";"2020";"2";"Eleição Ordinária";"1";"426";"ELEIÇÕES MUNICIPAIS 2020";"15/11/2020";"M";"RN";"16950";"ITAÚ";"16950";"ITAÚ";"45";"13";"Vereador";"4778";"13";"0";"4778";"13";"4396";"382";"N";"3991";"35";"222";"148";"0";"0";"0";"0";"0";"19:50:47";"15/11/2020"
