Exercício;Grupo Cód.;Grupo;Cód. Empresa;Sigla Empresa;Fonte Mãe Código;Fonte Mãe;Fonte Cód.;Fonte;PLoa;Loa;LOA + Crédito;Realizado até Jan;Realizado até Fev;Realizado até Mar;Realizado até Abr;Realizado até Mai;Realizado até Jun;Realizado até Jul;Realizado até Ago;Realizado até Set;Realizado até Out;Realizado até Nov;Realizado até Dez
2020;40;DEMAIS EMPRESAS DO SPE;22208;Ceasaminas;61000000;Recursos Próprios;61100000;Geração Própria;1.750.000;1.750.000;1.750.000;0;0;20.160;20.160;20.160;33.722;37.712;37.712;71.612;85.471;168.277;205.282
2020;40;DEMAIS EMPRESAS DO SPE;22212;Ceagesp;61000000;Recursos Próprios;61100000;Geração Própria;12.510.802;12.510.802;12.510.802;2.645;7.155;35.223;47.047;108.367;141.126;141.906;152.796;158.146;201.548;224.756;224.756
2020;40;DEMAIS EMPRESAS DO SPE;24214;ECT;61000000;Recursos Próprios;61100000;Geração Própria;833.217.388;833.217.388;812.273.314;0;0;31.128;31.128;3.332.926;22.744.380;34.779.310;64.087.012;115.074.897;136.753.112;198.161.813;316.856.867
2020;40;DEMAIS EMPRESAS DO SPE;24214;ECT;62000000;Recursos Para Aumento Do Patrimonio Liquido;62130000;Saldos de Exercícios Anteriores;0;0;20.944.074;5.573.119;9.999.015;15.083.755;19.222.965;20.944.074;20.944.074;20.944.074;20.944.074;20.944.074;20.944.074;20.944.074;20.944.074
2020;40;DEMAIS EMPRESAS DO SPE;25207;Serpro;61000000;Recursos Próprios;61100000;Geração Própria;210.000.000;210.000.000;210.000.000;141.699;6.060.662;8.556.248;8.954.446;8.954.446;9.873.340;13.372.887;14.276.781;22.906.048;46.151.884;80.115.475;169.775.143
2020;40;DEMAIS EMPRESAS DO SPE;25211;CMB;61000000;Recursos Próprios;61100000;Geração Própria;121.515.211;121.515.211;121.515.211;109.548;124.564;703.259;712.970;926.662;965.485;1.015.359;2.355.005;2.884.482;3.675.135;4.260.684;5.548.149
2020;40;DEMAIS EMPRESAS DO SPE;25230;Cobra;61000000;Recursos Próprios;61100000;Geração Própria;51.935.535;51.935.535;51.935.535;212.959;212.959;259.829;952.016;1.589.907;2.812.167;3.606.461;5.662.625;7.346.398;9.930.010;18.003.249;24.917.359
2020;40;DEMAIS EMPRESAS DO SPE;25246;BB Turismo;61000000;Recursos Próprios;61100000;Geração Própria;1.009.000;1.009.000;1.009.000;0;3.482;3.482;3.482;3.482;3.482;8.213;11.313;11.313;11.313;11.313;11.313
2020;40;DEMAIS EMPRESAS DO SPE;25276;Emgea;61000000;Recursos Próprios;61100000;Geração Própria;2.528.983;2.528.983;2.528.983;6.990;6.990;6.990;6.990;6.990;6.990;6.990;12.643;12.643;12.643;12.643;12.643
2020;40;DEMAIS EMPRESAS DO SPE;25277;Ativos S.A.;61000000;Recursos Próprios;61100000;Geração Própria;2.000.000;2.000.000;2.000.000;0;0;0;0;0;0;0;0;0;0;0;0
